Wall time,Step,Value,Smoothed
1579539539.06914,7210312.00000,50.43620,4.61194
1579539539.08142,7210723.00000,-33.82104,4.71137
1579539539.08628,7209743.00000,-23.17739,4.71164
1579539539.08879,7210564.00000,80.67843,4.64884
1579539599.29456,7274541.00000,59.43458,4.74968
1579539599.32935,7275033.00000,66.55504,4.69986
1579539599.33225,7276461.00000,-46.91138,4.65867
1579539659.69264,7340983.00000,-46.40038,4.58585
1579539659.72999,7340815.00000,66.85497,4.68697
1579539720.17730,7407472.00000,-17.43905,4.60471
1579539720.17759,7405735.00000,75.43502,4.70300
1579539720.18389,7406493.00000,81.34444,4.81255
1579539720.18869,7406825.00000,83.02776,4.91497
1579539780.42525,7472258.00000,75.08377,4.96740
1579539780.42561,7472688.00000,-46.40630,5.06902
1579539840.60459,7536930.00000,80.47720,4.98413
1579539840.61792,7538247.00000,-6.03528,5.08542
1579539901.13372,7602287.00000,77.43266,4.92725
1579539901.15612,7602322.00000,79.85886,5.03317
1579539961.93106,7668328.00000,-11.25792,5.11160
1579539961.93812,7668610.00000,-9.49933,5.00978
1579539961.96659,7668285.00000,73.13712,4.87075
1579540021.99432,7734946.00000,-64.88808,4.76677
1579540082.48432,7800718.00000,75.01811,4.86179
1579540142.74070,7864455.00000,-16.94496,4.81106
1579540202.81870,7930666.00000,-42.29937,4.90289
1579540323.72494,8061827.00000,-208.50124,5.00061
1579540323.73916,8062741.00000,79.06168,4.65157
1579540323.75029,8061232.00000,56.58000,4.72156
1579540323.75997,8061212.00000,78.35975,4.69533
1579540384.22133,8128006.00000,-38.62163,4.68234
1579540503.91158,8257708.00000,-8.57105,4.66042
1579540624.69769,8389069.00000,85.87784,4.76552
1579540624.70112,8389161.00000,89.64335,4.87261
1579540624.71693,8389068.00000,-58.68226,4.84862
1579540624.72476,8389148.00000,33.60511,4.94681
1579540624.73808,8390066.00000,75.22985,5.05097
1579540685.11699,8455838.00000,83.80308,5.16128
1579540685.14504,8454658.00000,66.33121,5.07219
1579540685.16599,8456007.00000,81.07108,5.17426
1579540745.56094,8520142.00000,82.07584,5.27842
1579540805.65149,8587175.00000,84.86456,5.23940
1579540805.65520,8587023.00000,-6.04195,5.06106
1579540805.66317,8586639.00000,-187.08185,5.09641
1579540865.97216,8651029.00000,84.19083,5.06938
1579540926.20789,8717807.00000,79.87285,5.02033
1579540986.34036,8783084.00000,80.78978,5.11872
1579540986.38577,8782399.00000,78.76857,5.22723
1579540986.38662,8782602.00000,-50.09307,5.33134
1579541046.56973,8848300.00000,82.06575,5.43576
1579541046.57695,8847962.00000,82.57707,5.37333
1579541107.05987,8914858.00000,-213.38011,5.36327
1579541166.98960,8979676.00000,62.25228,5.46683
1579541166.99188,8980229.00000,86.10421,5.57590
1579541227.61677,9045867.00000,-20.05326,5.68242
1579541227.62520,9045980.00000,76.44569,5.78223
1579541227.64432,9045617.00000,56.54165,5.88704
1579541287.98702,9111028.00000,64.12606,5.98781
1579541288.01651,9110570.00000,-46.53806,5.99157
1579541348.84994,9175307.00000,63.40797,6.09605
1579541348.87207,9175154.00000,-50.36031,6.16415
1579541348.88655,9175617.00000,85.72120,6.26590
1579541469.25031,9307246.00000,-57.64191,6.36199
1579541529.58273,9372907.00000,-15.93975,6.31386
1579541529.59294,9371927.00000,-65.19624,6.26450
1579541529.61189,9372286.00000,67.78366,6.24629
